CIN,7,4.6,3.8,5,5.9,4.9,6.4,8.1,4.6,6.4,6.3,5.7,6.5,6,3.8,5.7,4
CIN,8,299,165,261,304,190,273,459,193,223,346,266,279,227,184,369,202
CIN,9,0.62,0.67,0.64,0.66,0.69,0.76,0.81,0.71,0.81,0.62,0.59,0.81,0.55,0.69,0.77,0.6
CIN,10,5,3.9,6.9,9.2,5,6.8,10.2,4.8,6.8,8.4,7,8.7,6.5,4.5,6.8,4.6
CIN,11,39,34,14,6,27,27,22,39,5,9,4,7,12,16,6,13
CIN,12,133,89,69,67,101,75,78,36,241,62,108,152,136,53,73,55
CIN,13,34,25,28,30,21,14,21,10,39,24,28,34,26,21,24,20
CIN,14,3.9,3.6,2.5,2.2,4.8,5.4,3.7,3.6,6.2,2.6,3.9,4.5,5.2,2.5,3,2.8
CIN,15,0.4,1,0.5,0.67,0.67,1,0.67,1,1,1,0.33,0.43,0.67,0.8,0.5,0.33
CIN,16,27,35,30,74,20,30,17,6,35,44,80,65,36,27,62,35
CIN,17,5,0,1,0,1,1,0,2,0,2,0,0,1,1,3,1
CIN,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CIN,19,0.73,0.56,0.54,0.53,0.5,0.46,0.55,0.39,0.66,0.53,0.53,0.54,0.47,0.49,0.61,0.52
PHI,1,27,25,21,25,24,22,20,24,18,18,29,26,27,20,25,11,23
PHI,2,0.59,0.54,0.33,0.27,0.46,0.43,0.58,0.5,0.63,0.42,0.53,0.27,0.55,0.56,0.57,0.25,0.36
PHI,3,0.67,0,0.67,0.6,1,1,1,1,0,0.5,0.67,1,1,0.5,0.67,0,0
PHI,4,72,68,68,77,71,68,53,62,47,61,79,67,66,71,69,53,72
PHI,5,455,486,400,401,357,268,401,360,264,314,500,453,437,421,442,313,342
PHI,6,10,10,13,12,9,11,10,10,10,12,11,11,12,12,10,12,11
PHI,7,6.3,7.1,5.9,5.2,5,3.9,7.6,5.8,5.6,5.1,6.3,6.8,6.6,5.9,6.4,5.9,4.8
PHI,8,239,323,328,191,218,132,290,217,170,173,137,386,184,309,355,246,207
PHI,9,0.56,0.84,0.63,0.64,0.72,0.6,0.67,0.78,0.65,0.72,0.57,0.73,0.68,0.59,0.6,0.56,0.57
PHI,10,7.2,9.5,8.6,7.1,5.7,4.6,8.8,7,6.3,6.2,4.6,9,5.3,8.1,8.9,6.5,5.4
PHI,11,4,10,12,13,21,23,18,26,5,17,16,5,33,6,0,28,22
PHI,12,216,163,72,210,139,136,111,143,94,141,363,67,253,112,87,67,135
PHI,13,39,34,30,50,33,39,20,31,20,33,49,24,31,33,29,15,34
PHI,14,5.5,4.8,2.4,4.2,4.2,3.5,5.6,4.6,4.7,4.3,7.4,2.8,8.2,3.4,3,4.5,4
PHI,15,0.8,0.5,0.5,0.67,0.5,0.75,1,1,1,0.5,0.8,1,0.75,0.67,0.6,0,0.2
PHI,16,61,60,52,20,30,10,60,31,75,55,25,80,9,25,10,49,30
PHI,17,0,1,0,1,0,0,0,1,4,2,1,0,0,3,4,1,1
PHI,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHI,19,0.53,0.6,0.45,0.66,0.58,0.57,0.43,0.47,0.33,0.49,0.59,0.54,0.54,0.5,0.46,0.38,0.52
DET,1,23,17,23,27,17,18,22,19,25,23,22,31,23,17,22,26,21
DET,2,0.64,0.31,0.19,0.4,0.33,0.33,0.44,0.55,0.45,0.46,0.4,0.67,0.47,0.33,0.33,0.33,0.33
DET,3,1,0,0.67,1,0,0,0.5,0,1,0,1,0,0.5,0.67,0.67,0,1
DET,4,66,61,76,66,64,56,57,57,59,63,67,74,69,66,61,70,60
DET,5,386,425,416,520,312,312,393,254,323,325,326,437,464,359,381,504,323
DET,6,11,14,12,11,10,11,8,9,10,11,10,9,10,9,10,12,10
DET,7,5.8,7,5.5,7.9,4.9,5.6,6.9,4.5,5.5,5.2,4.9,5.9,6.7,5.4,6.2,7.2,5.4
DET,8,205,234,277,375,211,195,311,137,228,165,230,337,330,252,336,239,219
DET,9,0.57,0.59,0.61,0.68,0.54,0.81,0.73,0.54,0.73,0.65,0.62,0.76,0.69,0.61,0.6,0.72,0.68
DET,10,5.4,6.3,6.8,9.1,5.7,6.3,8.2,5.3,8.1,6.3,5.9,7.8,8.5,6.6,7.6,7.7,6.3
DET,11,10,22,0,9,18,33,10,0,8,0,10,3,0,0,19,16,5
DET,12,181,191,139,145,101,117,82,117,95,160,96,100,134,107,45,265,104
DET,13,28,24,35,25,27,25,19,31,31,37,28,31,30,28,17,39,25
DET,14,6.5,8,4,5.8,3.7,4.7,4.3,3.8,3.1,4.3,3.4,3.2,4.5,3.8,2.6,6.8,4.2
DET,15,1,0.67,1,1,0,0,0.75,0.67,0.6,0.8,0.75,1,1,0,0.5,0.67,0.4
DET,16,65,5,59,59,82,59,30,62,15,45,32,10,51,52,30,42,75
DET,17,1,0,1,2,2,5,0,1,0,0,2,0,0,0,1,0,0
DET,18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
DET,19,0.47,0.47,0.57,0.45,0.48,0.52,0.43,0.42,0.51,0.53,0.48,0.61,0.53,0.54,0.41,0.6,0.46
NE,1,17,18,22,17,22,20,12,19,11,13,17,14,18,19,15,14,20
NE,2,0.44,0.53,0.22,0.27,0.33,0.5,0.5,0.32,0.35,0.27,0.3,0.25,0.27,0.15,0.46,0.38,0.31
NE,3,0,0,0.5,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1
NE,4,54,66,63,58,56,65,48,75,62,59,55,51,57,63,53,57,64
NE,5,271,376,447,271,364,399,260,288,203,297,409,242,328,318,285,249,341
NE,6,9,10,12,11,9,14,11,13,14,11,11,9,12,12,11,11,12
NE,7,5,5.7,7.1,4.7,6.5,6.1,5.4,3.8,3.3,5,7.4,4.7,5.8,5,5.4,4.4,5.3
NE,8,193,252,302,104,188,301,190,161,133,198,364,182,225,112,224,173,234
NE,9,0.7,0.6,0.69,0.71,0.81,0.71,0.61,0.69,0.67,0.85,0.72,0.61,0.69,0.42,0.64,0.61,0.65
NE,10,6,7.2,8.6,4.2,9,8.4,6.6,3.9,3.9,6,8.7,4.9,6.3,3.6,6.1,4.8,5.7
NE,11,20,0,19,32,0,8,8,33,14,48,18,13,10,0,16,31,9
NE,12,78,124,145,167,176,98,70,127,70,99,45,60,103,206,61,76,107
NE,13,22,31,28,33,35,29,19,34,28,26,13,14,21,32,16,21,23
NE,14,3.5,4,5.2,5.1,5,3.4,3.7,3.7,2.5,3.8,3.5,4.3,4.9,6.4,3.8,3.6,4.7
NE,15,1,0.33,0.6,0.5,0,0.6,1,0.33,0.5,0,0,0,0.5,0,0.5,1,0.5
NE,16,15,55,16,75,46,92,30,54,35,55,55,62,80,30,82,39,20
NE,17,3,1,4,1,1,1,4,1,1,0,0,0,1,1,1,0,3
NE,18,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0
NE,19,0.46,0.56,0.49,0.55,0.52,0.58,0.38,0.59,0.52,0.59,0.4,0.36,0.44,0.45,0.39,0.44,0.54
MIA,1,18,27,15,20,19,23,17,27,21,29,25,14,14,20,15,21,17
MIA,2,0.43,0.64,0.38,0.2,0.36,0.29,0.29,0.67,0.5,0.55,0.27,0,0.27,0.36,0.29,0.29,0.31
MIA,3,1,1,0,0,0,0.5,0,1,0,0.5,1,0.5,0,1,1,0.67,0.5
MIA,4,59,69,39,60,62,73,62,64,53,67,72,45,49,57,45,69,64
MIA,5,307,547,212,378,295,458,372,476,379,491,339,308,219,405,376,333,302
MIA,6,8,11,8,11,12,14,12,8,9,9,13,13,11,10,11,11,9
MIA,7,5.2,7.9,5.4,6.3,4.8,6.3,6,7.4,7.2,7.3,4.7,6.8,4.5,7.1,8.4,4.8,4.7
MIA,8,242,461,171,293,158,385,261,369,302,296,273,275,127,217,294,247,140
MIA,9,0.7,0.72,0.65,0.59,0.56,0.64,0.6,0.81,0.7,0.79,0.56,0.53,0.36,0.57,0.64,0.6,0.65
MIA,10,6.7,9,7.8,7.7,4.4,7.3,7.5,9.7,10.1,8.7,5.9,7.4,4.2,6.8,10.9,5.9,4.4
MIA,11,28,8,15,10,8,33,0,13,0,6,32,20,18,17,16,18,12
MIA,12,65,86,41,85,137,73,111,107,77,195,66,33,92,188,82,86,162
MIA,13,23,18,17,22,26,20,27,26,23,33,26,8,19,25,18,27,32
MIA,14,2.8,4.8,2.4,3.9,5.3,3.7,4.1,4.1,3.3,5.9,2.5,4.1,4.8,7.5,4.6,3.2,5.1
MIA,15,0,1,1,0.33,0.67,1,0.33,1,0.67,0.6,0.4,0,0,0.33,0.5,1,0
MIA,16,20,51,20,41,102,97,30,55,38,43,35,68,50,51,62,71,47
MIA,17,0,2,0,2,2,3,0,1,0,0,1,4,0,0,4,2,0
MIA,18,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
MIA,19,0.54,0.58,0.32,0.47,0.48,0.59,0.45,0.57,0.42,0.55,0.54,0.32,0.34,0.5,0.47,0.56,0.59
BAL,1,13,23,19,22,22,23,17,27,23,19,24,20,18,17,15,15,20
BAL,2,0.38,0.3,0.45,0.46,0.45,0.4,0.47,0.46,0.6,0.4,0.57,0.23,0.31,0.42,0.33,0.42,0.38
BAL,3,0,0.33,0,0.5,0,0,1,0,0,0,0,1,0.5,0,0,0,0
BAL,4,53,54,59,64,61,58,63,74,65,66,68,69,61,61,51,50,75
BAL,5,274,473,394,296,325,406,254,453,319,308,415,285,309,324,299,240,386
BAL,6,13,11,12,10,10,9,10,12,9,12,11,11,10,9,9,8,15
BAL,7,5.2,8.8,6.7,4.6,5.3,7,4,6.1,4.9,4.7,6.1,4.1,5.1,5.3,5.9,4.8,5.1
BAL,8,211,318,206,134,170,195,94,222,131,193,253,182,94,126,115,120,276
BAL,9,0.57,0.72,0.62,0.69,0.59,0.53,0.56,0.71,0.55,0.73,0.5,0.81,0.65,0.57,0.53,0.67,0.43
BAL,10,6.6,11,6.2,4.3,5.2,5.7,4.9,5.4,5.2,5.4,7.7,4.4,4.9,3.8,6.8,5.5,5.8
BAL,11,2,0,12,10,4,15,26,16,2,16,1,16,10,12,0,10,10
BAL,12,63,155,188,162,155,211,160,231,188,115,162,103,215,198,184,120,110
BAL,13,21,25,26,33,28,24,44,33,40,30,35,28,42,28,34,28,27
BAL,14,3,6.2,7.2,4.9,5.5,8.8,3.6,7,4.7,3.8,4.6,3.7,5.1,7.1,5.4,4.3,4.1
BAL,15,0.5,0.67,1,0.5,0.33,0.33,0.5,0.5,0.5,0.25,0.4,0.5,0.33,0,0.25,0.5,0.33
BAL,16,29,5,10,70,48,74,53,101,31,93,20,15,46,25,6,30,22
BAL,17,1,0,2,2,1,2,1,0,0,1,2,2,0,2,0,1,4
BAL,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL,19,0.46,0.42,0.51,0.64,0.5,0.47,0.57,0.64,0.63,0.55,0.54,0.54,0.55,0.45,0.45,0.43,0.48
NYJ,1,24,20,19,19,21,14,10,17,21,6,22,23,19,18,10,20,11
NYJ,2,0.14,0.53,0.39,0.4,0.45,0.09,0.21,0.36,0.38,0.21,0.58,0.19,0.47,0.5,0.15,0.31,0.44
NYJ,3,0.75,1,0,1,0,0,0,0,1,0,0,0.4,0,1,0.2,0,0
NYJ,4,79,67,76,67,56,53,53,58,61,49,62,83,73,61,56,67,53
NYJ,5,380,402,328,348,322,278,260,387,310,103,466,486,309,337,227,279,187
NYJ,6,12,11,12,11,13,12,13,12,9,13,10,12,13,11,10,12,9
NYJ,7,4.8,6,4.3,5.2,5.8,5.2,4.9,6.7,5.1,2.1,7.5,5.9,4.2,5.5,4.1,4.2,3.5
NYJ,8,297,309,252,250,187,99,105,336,136,44,308,366,233,287,161,204,149
NYJ,9,0.63,0.6,0.54,0.51,0.67,0.56,0.62,0.49,0.72,0.41,0.76,0.53,0.6,0.51,0.58,0.5,0.55
NYJ,10,4.8,6.6,4.5,6.6,8.1,5,3.6,7.8,5,1.7,10.3,6.2,4.6,7.4,4.5,4.1,4.5
NYJ,11,12,15,33,4,23,11,16,19,18,33,7,3,36,30,21,36,0
NYJ,12,83,93,76,98,135,179,155,51,174,59,158,120,76,50,66,75,38
NYJ,13,17,20,20,29,33,33,24,15,34,23,32,24,22,22,20,17,20
NYJ,14,4.9,4.7,3.8,3.4,4.1,5.4,6.5,3.4,5.1,2.6,4.9,5,3.5,2.3,3.3,4.4,1.9
NYJ,15,0.5,0.75,0,1,0.83,0,0,0.67,0.4,0,0.5,0.17,0.5,0.5,0,0,0
NYJ,16,81,57,55,64,105,79,85,41,30,15,5,40,61,20,64,10,54
NYJ,17,2,1,4,2,0,0,0,3,1,0,0,2,2,1,2,3,0
NYJ,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NYJ,19,0.54,0.46,0.46,0.5,0.52,0.48,0.46,0.41,0.55,0.41,0.53,0.53,0.57,0.46,0.42,0.44,0.41
JAX,1,24,21,25,13,22,25,27,24,22,17,18,14,22,26,19,20,13
JAX,2,0.25,0.4,0.53,0.29,0.43,0.5,0.46,0.36,0.6,0.29,0.31,0.25,0.46,0.67,0.44,0.33,0.45
JAX,3,0,0.67,0.67,0,0,0.5,0.5,0,0,1,0.67,0.75,0,0,0,0,0
JAX,4,62,67,75,46,73,59,65,65,68,61,61,55,67,70,71,60,47
JAX,5,383,331,413,219,422,379,452,305,403,315,332,266,428,503,365,337,222
JAX,6,11,11,11,11,10,10,9,11,11,11,10,9,12,13,10,12,9
JAX,7,6.2,4.9,5.5,4.8,5.8,6.4,7,4.7,5.9,5.2,5.4,4.8,6.4,7.2,5.1,5.6,4.7
JAX,8,260,235,262,148,286,136,310,114,235,240,294,171,368,311,218,168,203
